date,opponent,location,result,su_score,opp_score,overtime
Feb 07,UAlbany,home,W,21,9,none
Feb 15,Maryland,away,W,15,9,none
Feb 18,Cornell,home,W,18,10,none
Feb 22,North Carolina,away,L,8,16,none
Feb 25,Northwestern,home,L,8,12,none
Mar 01,Clemson,home,L,8,9,none
Mar 07,Stanford,home,W,14,13,2OT
Mar 10,Johns Hopkins,home,L,13,14,OT
Mar 15,Pitt,away,W,17,11,none
Mar 19,Loyola,away,W,14,12,none
Mar 23,Notre Dame,home,W,12,11,none
Mar 29,Virginia,home,W,13,12,none
Apr 02,Yale,away,L,10,13,none
Apr 05,California,away,W,18,6,none
Apr 12,Virginia Tech,away,L,11,14,none
Apr 17,Boston College,home,L,2,17,none
Apr 22,Stanford,neutral,L,10,15,none
May 09,Brown,neutral,W,15,9,none
May 11,Yale,away,L,8,9,none
